
Проверка   | Статус | Комментарий
------------------+--------+--------------------------------
PostgreSQL         | OK     | SELECT 1 выполнен (docker exec)
Reports schema     | FAIL   | psql: error: connection to server on socket "/var/run/postgresql/.s.PGSQL.5432" failed: FATAL:  role "reports" does not exist
Redis              | OK     | PING → PONG (docker exec)
Consul             | OK     | Лидер: true (docker exec)
RabbitMQ UI        | OK     | Нода запущена (rabbitmq-diagnostics)
Gateway REST       | WARN   | Сервис gateway не запущен (профиль backend отключён?)
Gateway SSE        | WARN   | Сервис gateway не запущен (профиль backend отключён?)
Auth API           | FAIL   | 000curl: (52) Empty reply from server
CRM API            | FAIL   | 000curl: (52) Empty reply from server
Documents API      | FAIL   | 000curl: (28) Failed to connect to localhost port 8084 after 2015 ms: Timeout was reached
Notifications REST | FAIL   | 000curl: (28) Failed to connect to localhost port 8085 after 2017 ms: Timeout was reached
Notifications SSE  | FAIL   | 
Tasks API          | FAIL   | 000curl: (28) Failed to connect to localhost port 8086 after 2003 ms: Timeout was reached
Reports API        | WARN   | Недоступен: 000curl: (7) Failed to connect to localhost port 8087 after 2243 ms: Couldn't connect to server
Backup API         | WARN   | Недоступен: 000curl: (7) Failed to connect to localhost port 8094 after 2253 ms: Couldn't connect to server
Backup env         | FAIL   | Error response from daemon: Container e4cbd928e6ae2049a551388ae324edc0c1818fe6e75201f78e882f909d7e1714 is restarting, wait until the container is running
